,Unnamed: 0,Ticker,Price,Six-Month Price Return,Six-Month Return Percentile,Three-Month Price Return,Three-Month Return Percentile,One-Month Price Return,One-Month Return Percentile,Two-Week Price Return,Two-Week Return Percentile,Inverse RSI,RSI Percentile,HQM Score
337,337,NOV,15.68,0.2424722662440571,0.7361111111111112,0.1996939556235653,0.9503968253968256,-0.0344827586206895,0.2698412698412698,-0.0732860520094563,0.0277777777777777,-44.17014706334659,0.7916666666666667,0.5551587301587302
338,338,NOW,544.99,0.0238399398835244,0.1805555555555555,-0.0027082913975149,0.3988095238095238,0.137504957107971,0.9722222222222224,0.0945332583547557,0.9841269841269842,-70.74208573915081,0.0496031746031746,0.5170634920634921
339,339,NRG,38.48,-0.0635191044049648,0.0674603174603174,0.0182587986239745,0.5158730158730159,0.1902257964738632,0.992063492063492,0.0319120407615982,0.8392857142857143,-62.25191604090785,0.1666666666666666,0.5162698412698413
340,340,NSC,265.83,0.116510563232391,0.4087301587301587,-0.0524683657102121,0.1587301587301587,-0.048159553136637,0.1587301587301587,-0.0207397038237677,0.3591269841269841,-38.90657216638185,0.9305555555555556,0.4031746031746032
341,341,NTAP,82.43,0.2546423135464232,0.75,0.0858911869318931,0.7956349206349206,0.0435498164324599,0.7916666666666667,-0.0112750389828475,0.4682539682539682,-58.664568492476754,0.25,0.6111111111111112
342,342,NTRS,116.27,0.2414050822122571,0.7341269841269842,0.0892823683717444,0.8095238095238095,-0.0432027649769585,0.1964285714285714,-0.0107206670637284,0.4821428571428571,-50.68036398056904,0.5277777777777778,0.55
343,343,NUE,96.69,0.8309032380231015,0.998015873015873,0.2059116986779744,0.9583333333333331,-0.043336301573167,0.1924603174603174,-0.0928792569659443,0.0099206349206349,-45.29445281927331,0.742063492063492,0.5801587301587301
344,344,NVDA,761.27,0.4165534694181352,0.9543650793650794,0.2390058917352951,0.9642857142857144,0.228508722384495,0.996031746031746,0.0679245283018867,0.9662698412698412,-74.44782440717694,0.0257936507936507,0.7813492063492063
345,345,NVR,4843.54,0.0673927272006048,0.2936507936507936,0.0090708333333333,0.4742063492063492,-0.0040282698591236,0.5158730158730159,0.0372072405825529,0.867063492063492,-54.250499599200495,0.3869047619047619,0.5075396825396825
346,346,NWL,26.62,0.0277992277992278,0.1904761904761904,-0.0133432171979243,0.3432539682539682,-0.0685794261721482,0.0892857142857142,-0.0506419400855919,0.1091269841269841,-39.68414576879419,0.9087301587301588,0.3281746031746032
348,348,NWSA,25.73,0.3450078410872975,0.9087301587301588,-0.0581991215226939,0.1349206349206349,-0.0505535055350553,0.1488095238095238,-0.0417132216014897,0.1686507936507936,-46.08380526486204,0.7123015873015873,0.4146825396825396
349,349,O,68.13,0.1229602769078621,0.4226190476190476,-0.0173085244482908,0.3194444444444444,-0.0014656309541258,0.5317460317460317,-0.032106833357011,0.2599206349206349,-48.506673558493496,0.6349206349206349,0.4337301587301587
350,350,ODFL,253.67,0.2222704057049243,0.6904761904761905,0.0282529387920551,0.5734126984126984,-0.041706017906388,0.2123015873015873,0.0103556776994463,0.7063492063492063,-48.11937659182791,0.6527777777777777,0.567063492063492
351,351,OKE,56.55,0.3429114224649726,0.8988095238095238,0.0841641104294478,0.7837301587301587,0.0714285714285713,0.8928571428571429,0.0270613875771884,0.8115079365079364,-59.301096817311496,0.2281746031746031,0.723015873015873
352,352,OMC,80.24,0.2237303644959585,0.6964285714285714,-0.0043429705918849,0.3829365079365079,-0.0289241195691637,0.3115079365079365,-0.0423678243227116,0.1626984126984126,-45.050016143302,0.751984126984127,0.4611111111111111
353,353,ORCL,78.43,0.2690938511326862,0.7817460317460317,0.0228221178925404,0.5476190476190476,-0.0073408429312745,0.4841269841269841,-0.0538884304898113,0.0912698412698412,-46.65283877181008,0.6944444444444444,0.5198412698412698
354,354,ORLY,557.13,0.2258894976566109,0.7023809523809524,0.0450759707371974,0.6527777777777777,0.0529767529767529,0.8373015873015873,0.0418318498017802,0.8849206349206349,-68.44656403555328,0.0753968253968253,0.6305555555555555
355,355,OTIS,81.64,0.285871790833202,0.8115079365079364,0.1493735041531747,0.9146825396825397,0.0369617680680807,0.753968253968254,0.0135319677219118,0.7341269841269842,-64.37492565931215,0.119047619047619,0.6666666666666666
356,356,OXY,32.94,0.617083946980854,0.9900793650793652,0.3477905073649753,0.994047619047619,0.2637636677536925,0.998015873015873,0.1627250264737027,0.998015873015873,-70.93598571237591,0.0476190476190476,0.8055555555555556
357,357,PAYC,368.81,-0.0596139626201585,0.0773809523809523,-0.0500463630743869,0.1726190476190476,0.1154090427944957,0.9563492063492064,0.084735294117647,0.98015873015873,-68.54782352301334,0.0714285714285714,0.4515873015873016
358,358,PAYX,105.68,0.2102611085661934,0.6607142857142857,0.0759519446141316,0.757936507936508,0.0469585892609471,0.8095238095238095,0.0064761904761905,0.6686507936507937,-64.21702893656064,0.121031746031746,0.6035714285714286
359,359,PBCT,17.865,0.2363321799307958,0.7261904761904762,0.0025252525252524,0.4404761904761905,-0.0477078891257997,0.1666666666666666,-0.0229696472518458,0.3373015873015872,-46.96914744890328,0.6865079365079364,0.4714285714285714
360,360,PCAR,88.98,-0.0908347808317155,0.0396825396825396,-0.0496635693687919,0.1785714285714285,-0.026263952724885,0.3273809523809524,-0.0368045031392075,0.1984126984126984,-43.07604693878689,0.8313492063492063,0.315079365079365
361,361,PEAK,33.99,0.1281115167607037,0.4365079365079365,-0.0096153846153845,0.365079365079365,0.0317195325542571,0.7301587301587301,-0.0227142035652673,0.3392857142857143,-51.20424303742274,0.5119047619047619,0.4765873015873015
363,363,PEP,146.41,0.0324377688456384,0.2063492063492063,-0.0039458466562352,0.3869047619047619,-0.0014322739053335,0.5337301587301587,-0.0086668020854492,0.5079365079365079,-49.29571291880477,0.6051587301587302,0.448015873015873
364,364,PFE,38.95,0.0440959656882456,0.244047619047619,-0.0149215983813858,0.3293650793650793,0.0082837173181465,0.6091269841269841,-0.029887920298879,0.2777777777777778,-46.51187746597529,0.6964285714285714,0.4313492063492063
365,365,PFG,64.36,0.2296522735957202,0.7123015873015873,0.0233741453331213,0.5535714285714285,-0.0145460113305772,0.4265873015873015,-0.0078618776013566,0.5257936507936508,-52.46910654936757,0.4444444444444444,0.5325396825396825
366,366,PG,134.93,0.0142062537582683,0.1567460317460317,-0.0141740337546576,0.3333333333333333,-0.0002963621545528,0.5376984126984127,0.000519056799644,0.6051587301587302,-51.81205630172159,0.4781746031746031,0.4222222222222222
367,367,PGR,96.86,0.0569620253164556,0.2757936507936508,-0.0435469536881603,0.1984126984126984,-0.0229977809158765,0.3571428571428571,0.0348290598290598,0.8531746031746031,-51.55258591260065,0.4920634920634921,0.4353174603174603
368,368,PH,301.9,0.1296538821328343,0.4444444444444444,-0.0494332493702772,0.1805555555555555,-0.0204730540864994,0.378968253968254,-0.0002649182065038,0.5912698412698413,-51.19514568190114,0.5138888888888888,0.4218253968253968
369,369,PHM,53.605,0.125682486350273,0.4265873015873015,0.0078022184621169,0.4662698412698413,-0.0741796200345423,0.0734126984126984,-0.013707451701932,0.4325396825396825,-41.31180116422302,0.8849206349206349,0.4567460317460317
370,370,PKG,135.21,-0.0331092677345537,0.0972222222222222,-0.0496907506325554,0.1765873015873015,-0.095161614133708,0.0396825396825396,-0.0599318640061183,0.0634920634920634,-35.2246090746429,0.9781746031746033,0.271031746031746
371,371,PKI,152.42,0.0428297755883962,0.2361111111111111,0.138142174432497,0.9047619047619048,0.0521156899289016,0.8333333333333333,0.0381419425146437,0.869047619047619,-65.39811651327486,0.1111111111111111,0.5908730158730159
372,372,PLD,121.99,0.1513921661160924,0.494047619047619,0.0637425880711544,0.7123015873015873,0.043541488451668,0.7896825396825397,-0.0216537011789237,0.3511904761904762,-54.27748295578876,0.3829365079365079,0.5460317460317461
